Date,Close,Prediction
2021-05-17,0.62,0.7260651
2021-05-18,0.69,0.71428174
2021-05-19,0.68,0.7095401
2021-05-20,0.68,0.7085835
2021-05-21,0.68,0.71004826
2021-05-24,0.65,0.71292824
2021-05-25,0.64,0.71440333
2021-05-26,0.66,0.71432155
2021-05-27,0.68,0.7147648
2021-05-28,0.69,0.7168935
2021-06-01,0.7,0.7205873
2021-06-02,0.71,0.7256841
2021-06-03,0.73,0.7319877
2021-06-04,0.72,0.7400003
2021-06-07,0.77,0.74776477
2021-06-08,0.84,0.75840783
2021-06-09,0.8,0.7749166
2021-06-10,0.78,0.7908482
2021-06-11,0.8,0.8039844
2021-06-14,0.78,0.81598574
2021-06-15,0.74,0.82499063
2021-06-16,0.71,0.8287507
2021-06-17,0.72,0.8270403
2021-06-18,0.7,0.8229158
2021-06-21,0.7,0.81614107
2021-06-22,0.68,0.8082506
2021-06-23,0.73,0.7987769
2021-06-24,0.72,0.7925619
2021-06-25,0.71,0.7878828
2021-06-28,0.71,0.78375125
2021-06-29,0.7,0.7802513
2021-06-30,0.71,0.7766637
2021-07-01,0.69,0.7740018
2021-07-02,0.68,0.7706462
2021-07-06,0.67,0.7664456
2021-07-07,0.64,0.7613451
2021-07-08,0.66,0.75396025
2021-07-09,0.66,0.74718595
2021-07-12,0.63,0.74120605
2021-07-13,0.63,0.7340078
2021-07-14,0.6,0.72663945
2021-07-15,0.59,0.7175748
2021-07-16,0.58,0.70747405
2021-07-19,0.65,0.6967675
2021-07-20,0.62,0.6913612
2021-07-21,0.65,0.6873247
2021-07-22,0.66,0.686573
2021-07-23,0.64,0.6885459
2021-07-26,0.63,0.6906488
2021-07-27,0.893,0.69205093
